category_code,data_type_code,cell_value,program_code,seasonally_adj,time_slot_date,time_slot_id,time_slot_name,time
05XX,V,1550,VIP,no,2019-01-01,829,Jan2019,2019-01
05XX,P,5211,VIP,no,2019-01-01,829,Jan2019,2019-01
05XX,E_P,2.3,VIP,no,2019-01-01,829,Jan2019,2019-01
05XX,E_MPCT,1.0,VIP,no,2019-01-01,829,Jan2019,2019-01
05XX,E_MPCV,0.9,VIP,no,2019-01-01,829,Jan2019,2019-01
05XX,E_MPCP,1.2,VIP,no,2019-01-01,829,Jan2019,2019-01
05XX,E_T,1.9,VIP,no,2019-01-01,829,Jan2019,2019-01
05XX,E_V,2.4,VIP,no,2019-01-01,829,Jan2019,2019-01
05XX,MPCV,4.4,VIP,yes,2019-01-01,829,Jan2019,2019-01
05XX,MPCT,1.9,VIP,yes,2019-01-01,829,Jan2019,2019-01
05XX,MPCP,1.2,VIP,yes,2019-01-01,829,Jan2019,2019-01
06XX,T,233,VIP,no,2019-01-01,829,Jan2019,2019-01
06XX,V,233,VIP,no,2019-01-01,829,Jan2019,2019-01
06XX,E_V,5.7,VIP,no,2019-01-01,829,Jan2019,2019-01
06XX,E_MPCT,5.3,VIP,no,2019-01-01,829,Jan2019,2019-01
06XX,E_MPCV,5.3,VIP,no,2019-01-01,829,Jan2019,2019-01
06XX,E_T,5.7,VIP,no,2019-01-01,829,Jan2019,2019-01
06XX,MPCV,0.6,VIP,yes,2019-01-01,829,Jan2019,2019-01
06XX,MPCT,0.6,VIP,yes,2019-01-01,829,Jan2019,2019-01
07XX,T,658,VIP,no,2019-01-01,829,Jan2019,2019-01
07XX,P,641,VIP,no,2019-01-01,829,Jan2019,2019-01
07XX,E_P,3.2,VIP,no,2019-01-01,829,Jan2019,2019-01
07XX,E_MPCT,2.7,VIP,no,2019-01-01,829,Jan2019,2019-01
07XX,E_MPCP,2.8,VIP,no,2019-01-01,829,Jan2019,2019-01
07XX,E_T,3.1,VIP,no,2019-01-01,829,Jan2019,2019-01
07XX,MPCP,-11.7,VIP,yes,2019-01-01,829,Jan2019,2019-01
07XX,MPCT,-11.4,VIP,yes,2019-01-01,829,Jan2019,2019-01
08XX,T,1934,VIP,no,2019-01-01,829,Jan2019,2019-01
08XX,V,1120,VIP,no,2019-01-01,829,Jan2019,2019-01
08XX,P,814,VIP,no,2019-01-01,829,Jan2019,2019-01
08XX,E_V,2.8,VIP,no,2019-01-01,829,Jan2019,2019-01
08XX,E_P,4.7,VIP,no,2019-01-01,829,Jan2019,2019-01
08XX,E_MPCT,1.7,VIP,no,2019-01-01,829,Jan2019,2019-01
08XX,E_MPCV,2.0,VIP,no,2019-01-01,829,Jan2019,2019-01
08XX,E_MPCP,2.8,VIP,no,2019-01-01,829,Jan2019,2019-01
08XX,E_T,2.7,VIP,no,2019-01-01,829,Jan2019,2019-01
08XX,MPCT,-4.8,VIP,yes,2019-01-01,829,Jan2019,2019-01
08XX,MPCP,-5.0,VIP,yes,2019-01-01,829,Jan2019,2019-01
08XX,MPCV,-4.7,VIP,yes,2019-01-01,829,Jan2019,2019-01
09XX,T,3748,VIP,no,2019-01-01,829,Jan2019,2019-01
09XX,V,1264,VIP,no,2019-01-01,829,Jan2019,2019-01
09XX,P,2484,VIP,no,2019-01-01,829,Jan2019,2019-01
09XX,E_V,1.0,VIP,no,2019-01-01,829,Jan2019,2019-01
09XX,E_P,1.8,VIP,no,2019-01-01,829,Jan2019,2019-01
09XX,E_MPCT,0.8,VIP,no,2019-01-01,829,Jan2019,2019-01
09XX,E_MPCV,0.4,VIP,no,2019-01-01,829,Jan2019,2019-01
09XX,E_MPCP,1.0,VIP,no,2019-01-01,829,Jan2019,2019-01
09XX,E_T,1.3,VIP,no,2019-01-01,829,Jan2019,2019-01
09XX,MPCT,2.4,VIP,yes,2019-01-01,829,Jan2019,2019-01
09XX,MPCP,3.9,VIP,yes,2019-01-01,829,Jan2019,2019-01
09XX,MPCV,-0.6,VIP,yes,2019-01-01,829,Jan2019,2019-01
10XX,V,1728,VIP,no,2019-01-01,829,Jan2019,2019-01
10XX,T,1738,VIP,no,2019-01-01,829,Jan2019,2019-01
10XX,E_V,0.0,VIP,no,2019-01-01,829,Jan2019,2019-01
10XX,E_MPCT,23.6,VIP,no,2019-01-01,829,Jan2019,2019-01
10XX,E_MPCV,0.0,VIP,no,2019-01-01,829,Jan2019,2019-01
10XX,E_T,39.3,VIP,no,2019-01-01,829,Jan2019,2019-01
10XX,MPCT,-5.4,VIP,yes,2019-01-01,829,Jan2019,2019-01
10XX,MPCV,-5.1,VIP,yes,2019-01-01,829,Jan2019,2019-01
11XX,T,7951,VIP,no,2019-01-01,829,Jan2019,2019-01
11XX,V,7575,VIP,no,2019-01-01,829,Jan2019,2019-01
11XX,P,376,VIP,no,2019-01-01,829,Jan2019,2019-01
11XX,E_V,0.3,VIP,no,2019-01-01,829,Jan2019,2019-01
11XX,E_P,6.9,VIP,no,2019-01-01,829,Jan2019,2019-01
11XX,E_MPCT,0.2,VIP,no,2019-01-01,829,Jan2019,2019-01
11XX,E_MPCV,0.1,VIP,no,2019-01-01,829,Jan2019,2019-01
11XX,E_MPCP,3.8,VIP,no,2019-01-01,829,Jan2019,2019-01
11XX,E_T,0.4,VIP,no,2019-01-01,829,Jan2019,2019-01
11XX,MPCT,9.4,VIP,yes,2019-01-01,829,Jan2019,2019-01
11XX,MPCP,-0.9,VIP,yes,2019-01-01,829,Jan2019,2019-01
11XX,MPCV,10.0,VIP,yes,2019-01-01,829,Jan2019,2019-01
12XX,T,4430,VIP,no,2019-01-01,829,Jan2019,2019-01
12XX,P,4414,VIP,no,2019-01-01,829,Jan2019,2019-01
12XX,E_P,3.4,VIP,no,2019-01-01,829,Jan2019,2019-01
12XX,E_MPCT,3.1,VIP,no,2019-01-01,829,Jan2019,2019-01
12XX,E_MPCP,3.1,VIP,no,2019-01-01,829,Jan2019,2019-01
12XX,E_T,3.3,VIP,no,2019-01-01,829,Jan2019,2019-01
12XX,MPCT,6.3,VIP,yes,2019-01-01,829,Jan2019,2019-01
12XX,MPCP,6.3,VIP,yes,2019-01-01,829,Jan2019,2019-01
13XX,T,1634,VIP,no,2019-01-01,829,Jan2019,2019-01
13XX,P,1588,VIP,no,2019-01-01,829,Jan2019,2019-01
13XX,E_P,3.9,VIP,no,2019-01-01,829,Jan2019,2019-01
13XX,E_MPCT,2.3,VIP,no,2019-01-01,829,Jan2019,2019-01
13XX,E_MPCP,2.4,VIP,no,2019-01-01,829,Jan2019,2019-01
13XX,E_T,3.8,VIP,no,2019-01-01,829,Jan2019,2019-01
13XX,MPCT,-1.0,VIP,yes,2019-01-01,829,Jan2019,2019-01
13XX,MPCP,-0.8,VIP,yes,2019-01-01,829,Jan2019,2019-01
14XX,T,941,VIP,no,2019-01-01,829,Jan2019,2019-01
14XX,P,920,VIP,no,2019-01-01,829,Jan2019,2019-01
14XX,E_P,4.5,VIP,no,2019-01-01,829,Jan2019,2019-01
14XX,E_MPCT,3.6,VIP,no,2019-01-01,829,Jan2019,2019-01
14XX,E_MPCP,3.7,VIP,no,2019-01-01,829,Jan2019,2019-01
14XX,E_T,4.5,VIP,no,2019-01-01,829,Jan2019,2019-01
14XX,MPCT,0.3,VIP,yes,2019-01-01,829,Jan2019,2019-01
14XX,MPCP,-0.1,VIP,yes,2019-01-01,829,Jan2019,2019-01
15XX,T,618,VIP,no,2019-01-01,829,Jan2019,2019-01
15XX,P,617,VIP,no,2019-01-01,829,Jan2019,2019-01
15XX,E_P,2.2,VIP,no,2019-01-01,829,Jan2019,2019-01
15XX,E_MPCT,1.1,VIP,no,2019-01-01,829,Jan2019,2019-01
15XX,E_MPCP,1.1,VIP,no,2019-01-01,829,Jan2019,2019-01
15XX,E_T,2.3,VIP,no,2019-01-01,829,Jan2019,2019-01
15XX,MPCT,2.5,VIP,yes,2019-01-01,829,Jan2019,2019-01
15XX,MPCP,2.5,VIP,yes,2019-01-01,829,Jan2019,2019-01
20IX,T,5582,VIP,no,2019-01-01,829,Jan2019,2019-01
20IX,V,5567,VIP,no,2019-01-01,829,Jan2019,2019-01
20IX,E_V,1.0,VIP,no,2019-01-01,829,Jan2019,2019-01
20IX,E_MPCT,0.3,VIP,no,2019-01-01,829,Jan2019,2019-01
20IX,E_MPCV,0.3,VIP,no,2019-01-01,829,Jan2019,2019-01
20IX,E_T,1.0,VIP,no,2019-01-01,829,Jan2019,2019-01
20IX,MPCV,3.6,VIP,yes,2019-01-01,829,Jan2019,2019-01
20IX,MPCT,3.6,VIP,yes,2019-01-01,829,Jan2019,2019-01
A00XX,V,509091,VIP,yes,2019-01-01,829,Jan2019,2019-01
A00XX,P,5802,VIP,yes,2019-01-01,829,Jan2019,2019-01
A00XX,T,514893,VIP,yes,2019-01-01,829,Jan2019,2019-01
A00XX,E_P,3.7,VIP,yes,2019-01-01,829,Jan2019,2019-01
A00XX,E_T,3.7,VIP,yes,2019-01-01,829,Jan2019,2019-01
A00XX,E_V,5.0,VIP,yes,2019-01-01,829,Jan2019,2019-01
A01XX,T,33136,VIP,yes,2019-01-01,829,Jan2019,2019-01
A01XX,V,32217,VIP,yes,2019-01-01,829,Jan2019,2019-01
A01XX,E_T,1.8,VIP,yes,2019-01-01,829,Jan2019,2019-01
A01XX,E_V,1.7,VIP,yes,2019-01-01,829,Jan2019,2019-01
A02XX,V,68572,VIP,yes,2019-01-01,829,Jan2019,2019-01
A02XX,T,78211,VIP,yes,2019-01-01,829,Jan2019,2019-01
A02XX,P,9639,VIP,yes,2019-01-01,829,Jan2019,2019-01
A02XX,E_P,3.8,VIP,yes,2019-01-01,829,Jan2019,2019-01
A02XX,E_T,2.0,VIP,yes,2019-01-01,829,Jan2019,2019-01
A02XX,E_V,2.2,VIP,yes,2019-01-01,829,Jan2019,2019-01
A03XX,T,83983,VIP,yes,2019-01-01,829,Jan2019,2019-01
A03XX,P,4267,VIP,yes,2019-01-01,829,Jan2019,2019-01
A03XX,V,79716,VIP,yes,2019-01-01,829,Jan2019,2019-01
A03XX,E_P,6.3,VIP,yes,2019-01-01,829,Jan2019,2019-01
A03XX,E_T,2.0,VIP,yes,2019-01-01,829,Jan2019,2019-01
A03XX,E_V,2.0,VIP,yes,2019-01-01,829,Jan2019,2019-01
A04XX,V,37229,VIP,yes,2019-01-01,829,Jan2019,2019-01
A04XX,T,45999,VIP,yes,2019-01-01,829,Jan2019,2019-01
A04XX,P,8771,VIP,yes,2019-01-01,829,Jan2019,2019-01
A04XX,E_P,2.5,VIP,yes,2019-01-01,829,Jan2019,2019-01
A04XX,E_T,1.7,VIP,yes,2019-01-01,829,Jan2019,2019-01
A04XX,E_V,2.1,VIP,yes,2019-01-01,829,Jan2019,2019-01
A05XX,V,20752,VIP,yes,2019-01-01,829,Jan2019,2019-01
A05XX,T,99010,VIP,yes,2019-01-01,829,Jan2019,2019-01
A05XX,P,78257,VIP,yes,2019-01-01,829,Jan2019,2019-01
A05XX,E_V,2.4,VIP,yes,2019-01-01,829,Jan2019,2019-01
A05XX,E_P,2.3,VIP,yes,2019-01-01,829,Jan2019,2019-01
A05XX,E_T,1.9,VIP,yes,2019-01-01,829,Jan2019,2019-01
A06XX,T,3234,VIP,yes,2019-01-01,829,Jan2019,2019-01
A06XX,V,3234,VIP,yes,2019-01-01,829,Jan2019,2019-01
A06XX,E_V,5.7,VIP,yes,2019-01-01,829,Jan2019,2019-01
A06XX,E_T,5.7,VIP,yes,2019-01-01,829,Jan2019,2019-01
A07XX,P,8527,VIP,yes,2019-01-01,829,Jan2019,2019-01
A07XX,T,8738,VIP,yes,2019-01-01,829,Jan2019,2019-01
A07XX,E_P,3.2,VIP,yes,2019-01-01,829,Jan2019,2019-01
A07XX,E_T,3.1,VIP,yes,2019-01-01,829,Jan2019,2019-01
A08XX,V,14724,VIP,yes,2019-01-01,829,Jan2019,2019-01
A08XX,P,11810,VIP,yes,2019-01-01,829,Jan2019,2019-01
A08XX,T,26534,VIP,yes,2019-01-01,829,Jan2019,2019-01
A08XX,E_V,2.8,VIP,yes,2019-01-01,829,Jan2019,2019-01
A08XX,E_P,4.7,VIP,yes,2019-01-01,829,Jan2019,2019-01
A08XX,E_T,2.7,VIP,yes,2019-01-01,829,Jan2019,2019-01
A09XX,T,53738,VIP,yes,2019-01-01,829,Jan2019,2019-01
A09XX,V,18022,VIP,yes,2019-01-01,829,Jan2019,2019-01
A09XX,P,35716,VIP,yes,2019-01-01,829,Jan2019,2019-01
A09XX,E_V,1.0,VIP,yes,2019-01-01,829,Jan2019,2019-01
A09XX,E_P,1.8,VIP,yes,2019-01-01,829,Jan2019,2019-01
A09XX,E_T,1.3,VIP,yes,2019-01-01,829,Jan2019,2019-01
A10XX,T,23432,VIP,yes,2019-01-01,829,Jan2019,2019-01
A10XX,V,23318,VIP,yes,2019-01-01,829,Jan2019,2019-01
A10XX,E_V,0.0,VIP,yes,2019-01-01,829,Jan2019,2019-01
A10XX,E_T,39.3,VIP,yes,2019-01-01,829,Jan2019,2019-01
A11XX,V,93828,VIP,yes,2019-01-01,829,Jan2019,2019-01
A11XX,P,5270,VIP,yes,2019-01-01,829,Jan2019,2019-01
A11XX,T,99098,VIP,yes,2019-01-01,829,Jan2019,2019-01
A11XX,E_V,0.3,VIP,yes,2019-01-01,829,Jan2019,2019-01
A11XX,E_P,6.9,VIP,yes,2019-01-01,829,Jan2019,2019-01
A11XX,E_T,0.4,VIP,yes,2019-01-01,829,Jan2019,2019-01
A12XX,T,93318,VIP,yes,2019-01-01,829,Jan2019,2019-01
A12XX,P,93076,VIP,yes,2019-01-01,829,Jan2019,2019-01
A12XX,E_P,3.4,VIP,yes,2019-01-01,829,Jan2019,2019-01
A12XX,E_T,3.3,VIP,yes,2019-01-01,829,Jan2019,2019-01
A13XX,T,23919,VIP,yes,2019-01-01,829,Jan2019,2019-01
A13XX,P,23252,VIP,yes,2019-01-01,829,Jan2019,2019-01
A13XX,E_P,3.9,VIP,yes,2019-01-01,829,Jan2019,2019-01
A13XX,E_T,3.8,VIP,yes,2019-01-01,829,Jan2019,2019-01
A14XX,P,13212,VIP,yes,2019-01-01,829,Jan2019,2019-01
A14XX,T,13498,VIP,yes,2019-01-01,829,Jan2019,2019-01
A14XX,E_P,4.5,VIP,yes,2019-01-01,829,Jan2019,2019-01
A14XX,E_T,4.5,VIP,yes,2019-01-01,829,Jan2019,2019-01
A15XX,T,8793,VIP,yes,2019-01-01,829,Jan2019,2019-01
A15XX,P,8776,VIP,yes,2019-01-01,829,Jan2019,2019-01
A15XX,E_P,2.2,VIP,yes,2019-01-01,829,Jan2019,2019-01
A15XX,E_T,2.3,VIP,yes,2019-01-01,829,Jan2019,2019-01
A20IX,T,72958,VIP,yes,2019-01-01,829,Jan2019,2019-01
A20IX,V,72783,VIP,yes,2019-01-01,829,Jan2019,2019-01
A20IX,E_V,1.0,VIP,yes,2019-01-01,829,Jan2019,2019-01
A20IX,E_T,1.0,VIP,yes,2019-01-01,829,Jan2019,2019-01
ANRXX,T,767598,VIP,yes,2019-01-01,829,Jan2019,2019-01
ANRXX,V,465818,VIP,yes,2019-01-01,829,Jan2019,2019-01
ANRXX,P,301781,VIP,yes,2019-01-01,829,Jan2019,2019-01
ANRXX,E_P,1.4,VIP,yes,2019-01-01,829,Jan2019,2019-01
ANRXX,E_T,0.8,VIP,yes,2019-01-01,829,Jan2019,2019-01
ANRXX,E_V,0.7,VIP,yes,2019-01-01,829,Jan2019,2019-01
AXXXX,T,1282491,VIP,yes,2019-01-01,829,Jan2019,2019-01
AXXXX,V,974908,VIP,yes,2019-01-01,829,Jan2019,2019-01
AXXXX,P,307583,VIP,yes,2019-01-01,829,Jan2019,2019-01
AXXXX,E_P,1.3,VIP,yes,2019-01-01,829,Jan2019,2019-01
AXXXX,E_T,0.8,VIP,yes,2019-01-01,829,Jan2019,2019-01
AXXXX,E_V,0.7,VIP,yes,2019-01-01,829,Jan2019,2019-01
NRXX,P,18833,VIP,no,2019-01-01,829,Jan2019,2019-01
NRXX,V,35531,VIP,no,2019-01-01,829,Jan2019,2019-01
NRXX,T,54363,VIP,no,2019-01-01,829,Jan2019,2019-01
NRXX,E_P,1.4,VIP,no,2019-01-01,829,Jan2019,2019-01
NRXX,E_MPCT,0.5,VIP,no,2019-01-01,829,Jan2019,2019-01
NRXX,E_MPCV,0.4,VIP,no,2019-01-01,829,Jan2019,2019-01
NRXX,E_MPCP,1.0,VIP,no,2019-01-01,829,Jan2019,2019-01
NRXX,E_T,0.8,VIP,no,2019-01-01,829,Jan2019,2019-01
NRXX,E_V,0.7,VIP,no,2019-01-01,829,Jan2019,2019-01
NRXX,MPCT,2.8,VIP,yes,2019-01-01,829,Jan2019,2019-01
NRXX,MPCP,1.9,VIP,yes,2019-01-01,829,Jan2019,2019-01
NRXX,MPCV,3.3,VIP,yes,2019-01-01,829,Jan2019,2019-01
XXXX,V,69541,VIP,no,2019-01-01,829,Jan2019,2019-01
XXXX,T,88772,VIP,no,2019-01-01,829,Jan2019,2019-01
XXXX,P,19231,VIP,no,2019-01-01,829,Jan2019,2019-01
XXXX,E_P,1.3,VIP,no,2019-01-01,829,Jan2019,2019-01
XXXX,E_MPCT,0.5,VIP,no,2019-01-01,829,Jan2019,2019-01
XXXX,E_MPCV,0.4,VIP,no,2019-01-01,829,Jan2019,2019-01
XXXX,E_MPCP,1.0,VIP,no,2019-01-01,829,Jan2019,2019-01
XXXX,E_T,0.8,VIP,no,2019-01-01,829,Jan2019,2019-01
XXXX,E_V,0.7,VIP,no,2019-01-01,829,Jan2019,2019-01
XXXX,MPCT,1.4,VIP,yes,2019-01-01,829,Jan2019,2019-01
XXXX,MPCP,2.0,VIP,yes,2019-01-01,829,Jan2019,2019-01
XXXX,MPCV,1.2,VIP,yes,2019-01-01,829,Jan2019,2019-01
00XX,P,421,VIP,no,2019-02-01,830,Feb2019,2019-02
00XX,V,34753,VIP,no,2019-02-01,830,Feb2019,2019-02
00XX,T,35174,VIP,no,2019-02-01,830,Feb2019,2019-02
00XX,E_T,3.7,VIP,no,2019-02-01,830,Feb2019,2019-02
00XX,E_V,5.0,VIP,no,2019-02-01,830,Feb2019,2019-02
00XX,E_P,3.7,VIP,no,2019-02-01,830,Feb2019,2019-02
00XX,E_MPCT,2.8,VIP,no,2019-02-01,830,Feb2019,2019-02
00XX,E_MPCV,0.8,VIP,no,2019-02-01,830,Feb2019,2019-02
00XX,E_MPCP,2.8,VIP,no,2019-02-01,830,Feb2019,2019-02
00XX,MPCT,-0.4,VIP,yes,2019-02-01,830,Feb2019,2019-02
00XX,MPCP,3.1,VIP,yes,2019-02-01,830,Feb2019,2019-02
00XX,MPCV,-0.4,VIP,yes,2019-02-01,830,Feb2019,2019-02
01XX,T,2621,VIP,no,2019-02-01,830,Feb2019,2019-02
01XX,V,2532,VIP,no,2019-02-01,830,Feb2019,2019-02
01XX,E_T,1.8,VIP,no,2019-02-01,830,Feb2019,2019-02
01XX,E_V,1.7,VIP,no,2019-02-01,830,Feb2019,2019-02
01XX,E_MPCT,1.1,VIP,no,2019-02-01,830,Feb2019,2019-02
01XX,E_MPCV,1.1,VIP,no,2019-02-01,830,Feb2019,2019-02
01XX,MPCT,1.1,VIP,yes,2019-02-01,830,Feb2019,2019-02
01XX,MPCV,0.6,VIP,yes,2019-02-01,830,Feb2019,2019-02
02XX,T,5935,VIP,no,2019-02-01,830,Feb2019,2019-02
02XX,P,719,VIP,no,2019-02-01,830,Feb2019,2019-02
02XX,V,5216,VIP,no,2019-02-01,830,Feb2019,2019-02
02XX,E_T,1.8,VIP,no,2019-02-01,830,Feb2019,2019-02
02XX,E_V,2.0,VIP,no,2019-02-01,830,Feb2019,2019-02
02XX,E_P,3.9,VIP,no,2019-02-01,830,Feb2019,2019-02
02XX,E_MPCT,1.0,VIP,no,2019-02-01,830,Feb2019,2019-02
02XX,E_MPCV,1.1,VIP,no,2019-02-01,830,Feb2019,2019-02
02XX,E_MPCP,2.4,VIP,no,2019-02-01,830,Feb2019,2019-02
02XX,MPCT,-0.7,VIP,yes,2019-02-01,830,Feb2019,2019-02
02XX,MPCP,2.0,VIP,yes,2019-02-01,830,Feb2019,2019-02
02XX,MPCV,-1.1,VIP,yes,2019-02-01,830,Feb2019,2019-02
03XX,T,6078,VIP,no,2019-02-01,830,Feb2019,2019-02
03XX,V,5790,VIP,no,2019-02-01,830,Feb2019,2019-02
03XX,P,288,VIP,no,2019-02-01,830,Feb2019,2019-02
03XX,E_T,2.0,VIP,no,2019-02-01,830,Feb2019,2019-02
03XX,E_V,2.0,VIP,no,2019-02-01,830,Feb2019,2019-02
03XX,E_P,5.9,VIP,no,2019-02-01,830,Feb2019,2019-02
03XX,E_MPCT,1.5,VIP,no,2019-02-01,830,Feb2019,2019-02
03XX,E_MPCV,1.5,VIP,no,2019-02-01,830,Feb2019,2019-02
03XX,E_MPCP,4.4,VIP,no,2019-02-01,830,Feb2019,2019-02
03XX,MPCT,-1.6,VIP,yes,2019-02-01,830,Feb2019,2019-02
03XX,MPCP,-6.7,VIP,yes,2019-02-01,830,Feb2019,2019-02
03XX,MPCV,-1.3,VIP,yes,2019-02-01,830,Feb2019,2019-02
04XX,T,3393,VIP,no,2019-02-01,830,Feb2019,2019-02
04XX,V,2727,VIP,no,2019-02-01,830,Feb2019,2019-02
04XX,P,666,VIP,no,2019-02-01,830,Feb2019,2019-02
04XX,E_T,1.7,VIP,no,2019-02-01,830,Feb2019,2019-02
04XX,E_V,2.1,VIP,no,2019-02-01,830,Feb2019,2019-02
04XX,E_P,2.5,VIP,no,2019-02-01,830,Feb2019,2019-02
04XX,E_MPCT,1.1,VIP,no,2019-02-01,830,Feb2019,2019-02
04XX,E_MPCV,1.2,VIP,no,2019-02-01,830,Feb2019,2019-02
04XX,E_MPCP,1.7,VIP,no,2019-02-01,830,Feb2019,2019-02
04XX,MPCV,-3.9,VIP,yes,2019-02-01,830,Feb2019,2019-02
04XX,MPCT,-3.7,VIP,yes,2019-02-01,830,Feb2019,2019-02
04XX,MPCP,-3.0,VIP,yes,2019-02-01,830,Feb2019,2019-02
05XX,T,6745,VIP,no,2019-02-01,830,Feb2019,2019-02
05XX,V,1523,VIP,no,2019-02-01,830,Feb2019,2019-02
05XX,P,5223,VIP,no,2019-02-01,830,Feb2019,2019-02
05XX,E_T,1.9,VIP,no,2019-02-01,830,Feb2019,2019-02
05XX,E_V,2.3,VIP,no,2019-02-01,830,Feb2019,2019-02
05XX,E_P,2.2,VIP,no,2019-02-01,830,Feb2019,2019-02
05XX,E_MPCT,1.0,VIP,no,2019-02-01,830,Feb2019,2019-02
05XX,E_MPCV,1.4,VIP,no,2019-02-01,830,Feb2019,2019-02
05XX,E_MPCP,1.2,VIP,no,2019-02-01,830,Feb2019,2019-02
05XX,MPCV,-2.5,VIP,yes,2019-02-01,830,Feb2019,2019-02
05XX,MPCT,-1.1,VIP,yes,2019-02-01,830,Feb2019,2019-02
05XX,MPCP,-0.7,VIP,yes,2019-02-01,830,Feb2019,2019-02
06XX,T,214,VIP,no,2019-02-01,830,Feb2019,2019-02
06XX,V,214,VIP,no,2019-02-01,830,Feb2019,2019-02
06XX,E_T,5.9,VIP,no,2019-02-01,830,Feb2019,2019-02
06XX,E_V,5.9,VIP,no,2019-02-01,830,Feb2019,2019-02
